PAIS,TOTAL_VENCEDORES_HOMENS,TOTAL_KM_PAIS
United States,43,1814,6000000000001
United States,43,1806
United States,43,1694,2
Kenya,24,1012,8000000000001
Canada,16,675,20000000000005
Canada,16,672
Canada,16,630,39999999999998
Japan,9,379,80000000000001
Japan,9,372,59999999999997
Finland,7,295,40000000000003
Finland,7,289,80000000000001
Ethiopia,6,253,20000000000002
South Korea,3,126,60000000000001
United Kingdom,3,126,60000000000001
Belgium,2,84,400000000000006
Greece,2,84,400000000000006
Greece,2,78,799999999999997
Australia,1,42,200000000000003
Colombia,1,42,200000000000003
Germany,1,42,200000000000003
Ireland,1,42,200000000000003
Italy,1,42,200000000000003
New Zealand,1,42,200000000000003
Sweden,1,42,200000000000003
Yugoslavia,1,42,200000000000003
Guatemala,1,41,399999999999999
